# Keys      F_Time     RB_Time    F_H   RB_H
200000      1848.485   493.371    8     33
400000      2020.247   742.225    8     35
600000      2094.979   859.522    8     36
800000      2264.754   1011.589   9     37
1000000     2312.380   1064.665   9     37
1200000     2380.716   1150.452   9     38
1400000     2404.751   1231.228   9     38
1600000     2438.978   1255.776   9     39
1800000     2469.101   1298.451   9     39
2000000     2489.862   1327.219   9     39
2200000     2511.948   1356.977   9     40
2400000     2512.412   1385.383   9     40
2600000     2534.389   1431.527   9     40
2800000     2561.277   1491.215   9     40
3000000     2577.709   1506.315   9     40
